ITL125CD,ITL125NM,ITL225CD,ITL225NM,ITL325CD,ITL325NM,LAU125CD,LAU125NM,LAD24CD,LAD24NM,,,,,,,
TLC,North East (England),TLC3,Tees Valley,TLC31,Hartlepool and Stockton-on-Tees,E06000001,Hartlepool,E06000001,Hartlepool,,,,,,,
TLC,North East (England),TLC3,Tees Valley,TLC31,Hartlepool and Stockton-on-Tees,E06000004,Stockton-on-Tees,E06000004,Stockton-on-Tees,,,,,,,
TLC,North East (England),TLC3,Tees Valley,TLC32,South Teesside,E06000002,Middlesbrough,E06000002,Middlesbrough,,,,,,,
TLC,North East (England),TLC3,Tees Valley,TLC32,South Teesside,E06000003,Redcar and Cleveland,E06000003,Redcar and Cleveland,,,,,,,
TLC,North East (England),TLC3,Tees Valley,TLC33,Darlington,E06000005,Darlington,E06000005,Darlington,,,,,,,
TLC,North East (England),TLC4,"Northumberland, Durham and Tyne & Wear",TLC41,Durham,E06000047,County Durham,E06000047,County Durham,,,,,,,
TLC,North East (England),TLC4,"Northumberland, Durham and Tyne & Wear",TLC42,Northumberland,E06000057,Northumberland,E06000057,Northumberland,,,,,,,
TLC,North East (England),TLC4,"Northumberland, Durham and Tyne & Wear",TLC43,Tyneside,E08000021,Newcastle upon Tyne,E08000021,Newcastle upon Tyne,,,,,,,
TLC,North East (England),TLC4,"Northumberland, Durham and Tyne & Wear",TLC43,Tyneside,E08000022,North Tyneside,E08000022,North Tyneside,,,,,,,
TLC,North East (England),TLC4,"Northumberland, Durham and Tyne & Wear",TLC43,Tyneside,E08000023,South Tyneside,E08000023,South Tyneside,,,,,,,
TLC,North East (England),TLC4,"Northumberland, Durham and Tyne & Wear",TLC43,Tyneside,E08000037,Gateshead,E08000037,Gateshead,,,,,,,
TLC,North East (England),TLC4,"Northumberland, Durham and Tyne & Wear",TLC44,Sunderland,E08000024,Sunderland,E08000024,Sunderland,,,,,,,
TLD,North West (England),TLD1,Cumbria,TLD13,Cumberland,E06000063,Cumberland,E06000063,Cumberland,,,,,,,
TLD,North West (England),TLD1,Cumbria,TLD14,Westmorland and Furness,E06000064,Westmorland and Furness,E06000064,Westmorland and Furness,,,,,,,
TLD,North West (England),TLD3,Greater Manchester,TLD33,Manchester,E08000003,Manchester,E08000003,Manchester,,,,,,,
TLD,North West (England),TLD3,Greater Manchester,TLD34,Greater Manchester South West,E08000006,Salford,E08000006,Salford,,,,,,,
TLD,North West (England),TLD3,Greater Manchester,TLD34,Greater Manchester South West,E08000009,Trafford,E08000009,Trafford,,,,,,,
TLD,North West (England),TLD3,Greater Manchester,TLD35,Greater Manchester South East,E08000007,Stockport,E08000007,Stockport,,,,,,,
TLD,North West (England),TLD3,Greater Manchester,TLD35,Greater Manchester South East,E08000008,Tameside,E08000008,Tameside,,,,,,,
TLD,North West (England),TLD3,Greater Manchester,TLD36,Greater Manchester North West,E08000001,Bolton,E08000001,Bolton,,,,,,,
TLD,North West (England),TLD3,Greater Manchester,TLD36,Greater Manchester North West,E08000010,Wigan,E08000010,Wigan,,,,,,,
TLD,North West (England),TLD3,Greater Manchester,TLD37,Greater Manchester North East,E08000002,Bury,E08000002,Bury,,,,,,,
TLD,North West (England),TLD3,Greater Manchester,TLD37,Greater Manchester North East,E08000004,Oldham,E08000004,Oldham,,,,,,,
TLD,North West (England),TLD3,Greater Manchester,TLD37,Greater Manchester North East,E08000005,Rochdale,E08000005,Rochdale,,,,,,,
TLD,North West (England),TLD4,Lancashire,TLD41,Blackburn with Darwen,E06000008,Blackburn with Darwen,E06000008,Blackburn with Darwen,,,,,,,
TLD,North West (England),TLD4,Lancashire,TLD42,Blackpool,E06000009,Blackpool,E06000009,Blackpool,,,,,,,
TLD,North West (England),TLD4,Lancashire,TLD44,Lancaster and Wyre,E07000121,Lancaster,E07000121,Lancaster,,,,,,,
TLD,North West (England),TLD4,Lancashire,TLD44,Lancaster and Wyre,E07000128,Wyre,E07000128,Wyre,,,,,,,
TLD,North West (England),TLD4,Lancashire,TLD45,Mid Lancashire,E07000119,Fylde,E07000119,Fylde,,,,,,,
TLD,North West (England),TLD4,Lancashire,TLD45,Mid Lancashire,E07000123,Preston,E07000123,Preston,,,,,,,
TLD,North West (England),TLD4,Lancashire,TLD45,Mid Lancashire,E07000124,Ribble Valley,E07000124,Ribble Valley,,,,,,,
TLD,North West (England),TLD4,Lancashire,TLD45,Mid Lancashire,E07000126,South Ribble,E07000126,South Ribble,,,,,,,
TLD,North West (England),TLD4,Lancashire,TLD46,East Lancashire,E07000117,Burnley,E07000117,Burnley,,,,,,,
TLD,North West (England),TLD4,Lancashire,TLD46,East Lancashire,E07000120,Hyndburn,E07000120,Hyndburn,,,,,,,
TLD,North West (England),TLD4,Lancashire,TLD46,East Lancashire,E07000122,Pendle,E07000122,Pendle,,,,,,,
TLD,North West (England),TLD4,Lancashire,TLD46,East Lancashire,E07000125,Rossendale,E07000125,Rossendale,,,,,,,
TLD,North West (England),TLD4,Lancashire,TLD47,Chorley and West Lancashire,E07000118,Chorley,E07000118,Chorley,,,,,,,
TLD,North West (England),TLD4,Lancashire,TLD47,Chorley and West Lancashire,E07000127,West Lancashire,E07000127,West Lancashire,,,,,,,
TLD,North West (England),TLD6,Cheshire,TLD61,Warrington,E06000007,Warrington,E06000007,Warrington,,,,,,,
TLD,North West (England),TLD6,Cheshire,TLD62,Cheshire East,E06000049,Cheshire East,E06000049,Cheshire East,,,,,,,
TLD,North West (England),TLD6,Cheshire,TLD63,Cheshire West and Chester,E06000050,Cheshire West and Chester,E06000050,Cheshire West and Chester,,,,,,,
TLD,North West (England),TLD7,Merseyside,TLD71,East Merseyside,E06000006,Halton,E06000006,Halton,,,,,,,
TLD,North West (England),TLD7,Merseyside,TLD71,East Merseyside,E08000011,Knowsley,E08000011,Knowsley,,,,,,,
TLD,North West (England),TLD7,Merseyside,TLD71,East Merseyside,E08000013,St. Helens,E08000013,St. Helens,,,,,,,
TLD,North West (England),TLD7,Merseyside,TLD72,Liverpool,E08000012,Liverpool,E08000012,Liverpool,,,,,,,
TLD,North West (England),TLD7,Merseyside,TLD73,Sefton,E08000014,Sefton,E08000014,Sefton,,,,,,,
TLD,North West (England),TLD7,Merseyside,TLD74,Wirral,E08000015,Wirral,E08000015,Wirral,,,,,,,
TLE,Yorkshire and The Humber,TLE1,East Yorkshire and Northern Lincolnshire,TLE11,"Kingston upon Hull, City of",E06000010,"Kingston upon Hull, City of",E06000010,"Kingston upon Hull, City of",,,,,,,
TLE,Yorkshire and The Humber,TLE1,East Yorkshire and Northern Lincolnshire,TLE12,East Riding of Yorkshire,E06000011,East Riding of Yorkshire,E06000011,East Riding of Yorkshire,,,,,,,
TLE,Yorkshire and The Humber,TLE1,East Yorkshire and Northern Lincolnshire,TLE13,North and North East Lincolnshire,E06000012,North East Lincolnshire,E06000012,North East Lincolnshire,,,,,,,
TLE,Yorkshire and The Humber,TLE1,East Yorkshire and Northern Lincolnshire,TLE13,North and North East Lincolnshire,E06000013,North Lincolnshire,E06000013,North Lincolnshire,,,,,,,
TLE,Yorkshire and The Humber,TLE2,North Yorkshire,TLE21,York,E06000014,York,E06000014,York,,,,,,,
TLE,Yorkshire and The Humber,TLE2,North Yorkshire,TLE22,North Yorkshire,E06000065,North Yorkshire,E06000065,North Yorkshire,,,,,,,
TLE,Yorkshire and The Humber,TLE3,South Yorkshire,TLE32,Sheffield,E08000019,Sheffield,E08000019,Sheffield,,,,,,,
TLE,Yorkshire and The Humber,TLE3,South Yorkshire,TLE33,Barnsley,E08000016,Barnsley,E08000016,Barnsley,,,,,,,
TLE,Yorkshire and The Humber,TLE3,South Yorkshire,TLE34,Rotherham,E08000018,Rotherham,E08000018,Rotherham,,,,,,,
TLE,Yorkshire and The Humber,TLE3,South Yorkshire,TLE35,Doncaster,E08000017,Doncaster,E08000017,Doncaster,,,,,,,
TLE,Yorkshire and The Humber,TLE4,West Yorkshire,TLE41,Bradford,E08000032,Bradford,E08000032,Bradford,,,,,,,
TLE,Yorkshire and The Humber,TLE4,West Yorkshire,TLE42,Leeds,E08000035,Leeds,E08000035,Leeds,,,,,,,
